course_code,course_name,course_link,page_number
BUS356,Digital Marketing,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2690,3
BUS358,E-Commerce,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2691,3
BUS359,Social Media Marketing,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=5674,3
BUS360,Marketing Strategy,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2692,3
BUS361,International Marketing,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2693,3
BUS362,Market Opportunity Analysis,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2694,3
BUS363,Branding and Advertising,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2695,3
BUS364,Professional Selling,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2696,3
BUS365,Consumer Behavior,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2697,3
BUS366,Sales Management,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2698,3
BUS367,Marketing Management,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2699,3
BUS369,Marketing Research,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2700,3
BUS372,Supply Chain Management,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2702,3
BUS373,Project Management,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2703,3
BUS374,Purchasing and Procurement,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2704,3
BUS375,Production/Operations Management,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2705,3
BUS376,Advanced Topics in Strategy,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=5688,3
BUS377,Information Visualization,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2706,3
BUS378,Sport Management Practicum,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2707,3
BUS380,Advanced Legal Issues in Business,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2708,3
BUS382,International Business Law,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2709,3
BUS383,Social Entrepreneurship,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2710,3
BUS384,Enactus Project Leadership,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2711,3
BUS385,Entrepreneurship and Venture Creation,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2712,4
BUS386,Creative Strategies for Entrepreneurs,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2713,4
BUS387,Design Thinking,https://catalog.usm.maine.edu/preview_course_nopop.php?catoid=3&coid=2714,4
